"Month","State","Energy Requirement (MU)","Energy Supplied (MU)","Energy not supplied (MU)","Peak Demand (MW)","Peak Met (MW)","Demand not met (MW)"
"Aug-18","Chandigarh","172","172","0.0","338","338","0.0"
"Aug-18","Delhi","3535","3533","2","5937","5937","0.0"
"Aug-18","Haryana","5896","5896","0.0","9415","9415","0.0"
"Aug-18","Himachal Pradesh","878","823","2","1479","1479","0.0"
"Aug-18","Jammu & Kashmir","1592","1295","317","2845","2276","569"
"Aug-18","Punjab","7368","7368","13","12012","12012","0.0"
"Aug-18","Rajasthan","6991","6985","42","11354","11354","0.0"
"Aug-18","Uttar Pradesh","10957","10876","84","19086","19086","0.0"
"Aug-18","Uttarakhand","1177","1167","10","2096","2096","0.0"
"Aug-18","Chattisgarh","2360","2356","1","4140","4136","4"
"Aug-18","Gujarat","9491","9491","0.0","16717","16705","12"
"Aug-18","Madhya Pradesh","5315","5315","0.0","8775","8775","0.0"
"Aug-18","Maharashtra","12518","12516","2","20764","20757","7"
"Aug-18","Daman & Diu ","198","198","0.0","347","347","0.0"
"Aug-18","Dadar Nagar Haveli","517","517","0.0","807","804","3"
"Aug-18","Goa","345","343","0.0","538","535","3"
"Aug-18","Andhra Pradesh","5265","5260","5","8713","8710","3"
"Aug-18","Telangana","5786","5781","5","10219","10198","21"
"Aug-18","Karnataka","5455","5450","5","9486","9464","23"
"Aug-18","Kerala","1806","1795","4","3550","3342","208"
"Aug-18","Tamil Nadu","9418","9411","8","14734","14701","34"
"Aug-18","Puducherry","233","232","0.0","391","382","8"
"Aug-18","Lakshadweep","4","4","0.0","8","8","0.0"
"Aug-18","Bihar","2861","2843","16","4999","4910","89"
"Aug-18","DVC","1905","1853","6","2717","2717","0.0"
"Aug-18","Jharkhand","738","735","5","1248","1248","0.0"
"Aug-18","Odisha","3133","3130","2","5357","5357","0.0"
"Aug-18","West Bengal ","5101","5096","21","8510","8415","95"
"Aug-18","Sikkim","39","39","0.0","89","89","0.0"
"Aug-18","Andaman Nicobar","29","27","2","58","54","4"
"Aug-18","Arunachal Pradesh","76","75","1","136","133","3"
"Aug-18","Assam","1039","1002","39","1834","1795","39"
"Aug-18","Manipur","71","70","1","177","175","2"
"Aug-18","Meghalaya","162","162","0.0","325","325","0.0"
"Aug-18","Mizoram","59","58","1","99","97","2"
"Aug-18","Nagaland","81","72","8","134","133","2"
"Aug-18","Tripura","180","178","3","292","287","5"
