State,Peak Demand (MW),Peak Met (MW),Demand not met (MW),Coal Requirement,Solar Potential (MW),Wind Potential (MW),Energy Deficit (MW),Coal Dependency Ratio
Andaman Nicobar,58.0,54.0,4.0,0.0,20242.972972972973,18797.54054054054,4.0,0.0
Andhra Pradesh,8713.0,8710.0,3.0,37678.0,20242.972972972973,18797.54054054054,3.0,4.325335782344163
Arunachal Pradesh,136.0,133.0,3.0,0.0,20242.972972972973,18797.54054054054,3.0,0.0
Assam,1834.0,1795.0,39.0,712.0,20242.972972972973,18797.54054054054,39.0,0.39643652561247217
Bihar,4999.0,4910.0,89.0,17894.0,20242.972972972973,18797.54054054054,89.0,3.643657096314396
Chandigarh,338.0,338.0,0.0,0.0,20242.972972972973,18797.54054054054,0.0,0.0
Chattisgarh,4140.0,4136.0,4.0,0.0,20242.972972972973,18797.54054054054,4.0,0.0
Dadar Nagar Haveli,807.0,804.0,3.0,0.0,20242.972972972973,18797.54054054054,3.0,0.0
Daman & Diu,347.0,347.0,0.0,0.0,20242.972972972973,18797.54054054054,0.0,0.0
Delhi,5937.0,5937.0,0.0,802.0,20242.972972972973,18797.54054054054,0.0,0.13506231054227014
Dvc,2717.0,2717.0,0.0,0.0,20242.972972972973,18797.54054054054,0.0,0.0
Goa,538.0,535.0,3.0,0.0,20242.972972972973,18797.54054054054,3.0,0.0
Gujarat,16717.0,16705.0,12.0,40257.0,20242.972972972973,18797.54054054054,12.0,2.4097330300490842
Haryana,9415.0,9415.0,0.0,14158.0,20242.972972972973,18797.54054054054,0.0,1.5036108751062023
Himachal Pradesh,1479.0,1479.0,0.0,0.0,20242.972972972973,18797.54054054054,0.0,0.0
Jammu & Kashmir,2845.0,2276.0,569.0,0.0,20242.972972972973,18797.54054054054,569.0,0.0
Jharkhand,1248.0,1248.0,0.0,15581.0,20242.972972972973,18797.54054054054,0.0,12.474779823859087
Karnataka,9486.0,9464.0,23.0,19366.0,20242.972972972973,18797.54054054054,22.0,2.046064447966191
Kerala,3550.0,3342.0,208.0,0.0,20242.972972972973,18797.54054054054,208.0,0.0
Lakshadweep,8.0,8.0,0.0,0.0,20242.972972972973,18797.54054054054,0.0,0.0
Madhya Pradesh,8775.0,8775.0,0.0,62041.0,20242.972972972973,18797.54054054054,0.0,7.069393801276208
Maharashtra,20764.0,20757.0,7.0,70869.0,20242.972972972973,18797.54054054054,7.0,3.4140572309471047
Manipur,177.0,175.0,2.0,0.0,20242.972972972973,18797.54054054054,2.0,0.0
Meghalaya,325.0,325.0,0.0,0.0,20242.972972972973,18797.54054054054,0.0,0.0
Mizoram,99.0,97.0,2.0,0.0,20242.972972972973,18797.54054054054,2.0,0.0
Nagaland,134.0,133.0,2.0,0.0,20242.972972972973,18797.54054054054,1.0,0.0
Odisha,5357.0,5357.0,0.0,38223.0,20242.972972972973,18797.54054054054,0.0,7.133818589025756
Puducherry,391.0,382.0,8.0,0.0,20242.972972972973,18797.54054054054,9.0,0.0
Punjab,12012.0,12012.0,0.0,14093.0,20242.972972972973,18797.54054054054,0.0,1.1731457587613419
Rajasthan,11354.0,11354.0,0.0,20603.0,20242.972972972973,18797.54054054054,0.0,1.8144429766622634
Sikkim,89.0,89.0,0.0,0.0,20242.972972972973,18797.54054054054,0.0,0.0
Tamil Nadu,14734.0,14701.0,34.0,30180.0,20242.972972972973,18797.54054054054,33.0,2.0527819344306897
Telangana,10219.0,10198.0,21.0,26190.0,20242.972972972973,18797.54054054054,21.0,2.5678988136091774
Tripura,292.0,287.0,5.0,0.0,20242.972972972973,18797.54054054054,5.0,0.0
Uttar Pradesh,19086.0,19086.0,0.0,82764.0,20242.972972972973,18797.54054054054,0.0,4.336145020170797
Uttarakhand,2096.0,2096.0,0.0,0.0,20242.972972972973,18797.54054054054,0.0,0.0
West Bengal,8510.0,8415.0,95.0,45611.0,20242.972972972973,18797.54054054054,95.0,5.419557984790875
