Sr. No.,State,Power Plant,Coal Requirement
1,Delhi,Rajghat,45
2,Delhi,Badarpur,757
Sub Total,Sub Total,Sub Total,802
3,Haryana,Panipat,1035
4,Haryana,Rajiv Gandhi,3216
5,Haryana,Yamuna Nagar,1652
6,Haryana,Indira Gandhi (JV) (Aravali Power),4680
7,Haryana,Mahatma Gandhi,3575
Sub Total,Sub Total,Sub Total,14158
8,Punjab,Gh (leh.moh.),2280
9,Punjab,Ropar,3066
10,Punjab,Gnd (Bhatinda),737
11,Punjab,Rajpura,4050
12,Punjab,Talwandi Sabo,3960
Sub Total,Sub Total,Sub Total,14093
13,Rajasthan,Kota,5433
14,Rajasthan,Suratgarh,4095
15,Rajasthan,Chhabra,2880
16,Rajasthan,Kawai,4163
17,Rajasthan,Kalisindh,4032
Sub Total,Sub Total,Sub Total,20603
18,Uttar Pradesh,Anpara,12920
19,Uttar Pradesh,Harduaganj,3033
20,Uttar Pradesh,Obra,4439
21,Uttar Pradesh,Panki,930
22,Uttar Pradesh,Parichha,5719
23,Uttar Pradesh,Dadri (NC),7605
24,Uttar Pradesh,Rihand,13900
25,Uttar Pradesh,Singrauli,11512
26,Uttar Pradesh,Tanda,2313
27,Uttar Pradesh,Unchahar,4774
28,Uttar Pradesh,Rosa,5280
29,Uttar Pradesh,Anpara C,5525
30,Uttar Pradesh,Barkhera,315
31,Uttar Pradesh,Kundarki,319
32,Uttar Pradesh,Khambarkhera,288
33,Uttar Pradesh,Maqsoodpur,324
34,Uttar Pradesh,Utraula,318
35,Uttar Pradesh,Prayagraj,1300
36,Uttar Pradesh,Lalitpur,1950
Sub Total,Sub Total,Sub Total,82763
37,Gujarat,Sikka,872
38,Gujarat,Gandhi Nagar,1920
39,Gujarat,Ukai,3752
40,Gujarat,Wanakbori,4140
41,Gujarat,Sabarmati (torrent),1454
42,Gujarat,Mundra,15600
43,Gujarat,Mundra UM (Tata),10119
44,Gujarat,Salaya (Essar),2400
Sub Total,Sub Total,Sub Total,40257
45,Madhya Pradesh,Amarkantak Ext,901
46,Madhya Pradesh,Sanjay Gandhi,4970
47,Madhya Pradesh,Satpura,4565
48,Madhya Pradesh,Shri Singhaji,4615
49,Madhya Pradesh,Vindhyachal,21988
50,Madhya Pradesh,Bina,1725
51,Madhya Pradesh,Sasan Umpp,16430
52,Madhya Pradesh,Anuppur,2947
53,Madhya Pradesh,Nigri,3900
Sub Total,Sub Total,Sub Total,62041
54,Chhattisgarh,Dspm,2697
55,Chhattisgarh,Korba-II,2388
56,Chhattisgarh,Korba-west,6930
57,Chhattisgarh,Korba,14040
58,Chhattisgarh,Sipat,12632
59,Chhattisgarh,Pathadi,2450
